rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
65,VCU,A10,17-6,119.4112,48,107.0238,135,0.77894,65,22.03895,8.961054,13.03895,4.961054,2-Aug,0.529306,0.485386,0.586401,0.556222,0.485386,0.607382,0.787978,0.777308,109.869,108.6767,110.2961,107.6965,119.2521,108.3594,109.1602,98.36182,0.768148,5,0.073474,791,738,677.2375,1.16798,1.089721,0.633607,0.8,0.140784,56,37,68.76167
66,South Florida,Amer,14-8,116.9826,66,104.8508,88,0.77887,66,20.25951,10.74049,12.25951,5.740493,3-Jun,0.538315,0.514511,0.572697,0.541687,0.514511,0.561313,0.8212,0.802258,111.1013,108.3985,110.7558,108.4279,116.994,104.6446,123.3923,97.83924,0.935142,4,-0.0434,786,720,682.85,1.151058,1.054404,0.549929,0.666667,-2.58472,87,275,72.02039
67,Butler,BE,13-9,117.8726,61,105.7502,110,0.776958,67,17.10646,13.89354,8.106463,11.89354,7-Apr,0.646818,0.503265,0.790371,0.686012,0.503265,0.786523,0.699833,0.804666,112.9774,105.3327,113.7887,104.4373,117.5817,110.6471,119.5615,103.6409,0.837988,7,0.019565,855,927,779.7,1.096576,1.188919,0.78182,0.363636,-1.29628,71,119,69.33269
68,Belmont,MVC,21-3,120.6113,42,108.3561,152,0.774206,68,25.59089,5.409114,15.59089,4.409114,2-Nov,0.446324,0.345924,0.531279,0.474985,0.345924,0.545969,0.875226,0.915121,106.2954,108.2508,106.8223,107.6622,123.495,112.6502,0,0,0,0,0.097384,1076,994,898.5125,1.197535,1.106273,0.573252,0.846154,0.702895,48,23,68.84341
69,Stephen F. Austin,Slnd,20-3,111.7595,125,100.5555,47,0.771157,69,26.66126,4.338742,19.66126,2.338742,13-1,0.34983,0.29979,0.381998,0.354064,0.29979,0.376267,0.920969,0.929533,105.2225,110.4882,105.3203,110.6761,110.8842,97.988,0,0,0,0,0.042568,1041,881,922.7,1.128211,0.954807,0.366237,0.928571,-0.30877,61,81,65.8495
70,Oklahoma St.,B12,15-6,116.9534,67,105.488,106,0.766123,70,18.26652,12.73348,6.266517,11.73348,5-Mar,0.614156,0.48152,0.82969,0.693402,0.48152,0.846429,0.676839,0.861888,112.5372,106.1135,114.5982,103.9226,114.0422,104.687,119.1029,100.3363,0.877803,6,0.116408,618,659,575.3625,1.074105,1.145365,0.85982,0.375,0.68725,50,14,72.34115
71,Oklahoma,SEC,11-Nov,118.8513,52,107.4203,140,0.761864,71,13.71475,17.28525,3.714755,14.28525,8-Jan,0.601043,0.433831,0.842571,0.681117,0.433831,0.859713,0.652175,0.795757,112.1723,107.1894,115.0134,105.5176,116.5263,105.2551,123.3699,107.127,0.835274,8,-0.05591,686,739,631.8375,1.085722,1.169605,0.876855,0.111111,-3.12357,99,297,66.68632
72,Wake Forest,ACC,11-Nov,114.826,80,103.8466,77,0.760567,72,15.00927,15.99073,6.009272,11.99073,7-Feb,0.654212,0.520109,0.847918,0.692184,0.520109,0.816461,0.678154,0.776583,115.119,105.6528,114.9881,104.2062,114.6708,105.5801,114.7101,104.9878,0.734677,8,-0.03249,670,741,633.175,1.058159,1.170293,0.785003,0.222222,-2.63241,89,257,69.0844
73,Providence,BE,13-Sep,122.7512,25,111.0698,231,0.759513,73,13.58814,17.41186,6.588141,13.41186,9-Feb,0.665157,0.503607,0.826708,0.687255,0.503607,0.788262,0.69708,0.800297,113.5186,104.301,113.4651,103.8382,124.2241,111.4698,124.8168,109.1529,0.823773,8,-0.11211,947,992,825.15,1.14767,1.202206,0.741273,0.181818,-4.537,141,356,72.30578
74,Creighton,BE,10-Dec,117.9623,58,106.7376,129,0.759494,74,15.67778,15.32222,9.677778,10.32222,5-Jun,0.670896,0.565671,0.77612,0.70928,0.565671,0.788264,0.666826,0.715039,114.3314,104.8086,114.8948,103.6393,120.2906,107.0575,111.4473,105.0376,0.664002,7,0.019075,862,863,758.1875,1.136922,1.138241,0.803106,0.545455,-1.63793,73,121,65.98682
75,Arizona St.,B12,11-Nov,118.0469,56,106.9629,134,0.756559,75,14.34238,16.65762,5.342378,12.65762,7-Feb,0.703706,0.609758,0.839409,0.736857,0.609758,0.828651,0.632658,0.744198,115.5174,103.6043,116.8059,103.4428,119.4162,108.5396,119.6023,108.1701,0.760492,10,0.016696,702,784,654.175,1.073107,1.198456,0.817892,0.222222,-1.75426,74,130,69.55323
76,Stanford,ACC,14-8,114.0432,90,103.6206,74,0.750668,76,17.99392,13.00608,6.993918,11.00608,6-Mar,0.655289,0.524827,0.843734,0.685719,0.524827,0.801919,0.719372,0.861224,112.74,104.3215,113.2739,103.6569,110.8631,104.0522,117.2155,104.0911,0.796668,7,0.070106,605,676,588.825,1.02747,1.148049,0.760104,0.333333,-0.78219,64,39,67.53892
77,Illinois St.,MVC,15-8,109.517,160,99.57313,35,0.749257,77,20.40297,10.59703,12.40297,7.597031,5-Jul,0.48183,0.416047,0.542131,0.501471,0.416047,0.548454,0.858825,0.873592,109.0813,108.9979,109.2402,108.5574,107.0385,98.18852,110.8004,111.2718,0.487796,3,-0.06414,861,785,816.325,1.054727,0.961627,0.557937,0.583333,-3.61993,108,313,66.45442
78,George Washington,A10,13-9,117.8953,60,107.291,138,0.747231,78,18.91637,12.08363,9.916374,8.083626,5-Apr,0.474189,0.419712,0.552879,0.502326,0.419712,0.561991,0.836572,0.861578,108.9117,108.3535,109.2639,107.9696,118.1641,106.6258,113.2703,92.96757,0.906494,2,-0.11658,718,665,620.45,1.157225,1.071803,0.571104,0.444444,-4.36535,133,359,70.07171
79,Yale,Ivy,16-4,120.8516,39,110.3711,213,0.73947,79,22.0618,5.938201,10.29088,3.709118,2-May,0.424745,0.434888,0.405907,0.425275,0.431309,0.41924,0.888682,0.863983,109.2732,109.6524,108.67,109.8173,114.4597,105.5375,121.8403,123.477,0.461713,1,0.043388,548,466,458.7,1.194681,1.015915,0.432573,0.714286,-0.83714,67,79,65.41384
80,Mississippi,SEC,11-Nov,113.2073,102,103.4812,72,0.737508,80,13.94448,17.05552,5.94448,12.05552,6-Mar,0.644657,0.490598,0.867187,0.70369,0.490598,0.857591,0.641963,0.795992,113.5725,105.312,115.8549,104.3482,115.8636,104.6377,112.9179,101.9171,0.764725,9,-0.00715,661,716,613.3375,1.07771,1.167383,0.847994,0.333333,-2.46718,86,202,64.89451
81,Mississippi St.,SEC,11-Nov,111.9144,123,102.4371,66,0.7345,81,13.83185,17.16815,5.83185,12.16815,6-Mar,0.673799,0.551494,0.85046,0.727075,0.551494,0.853884,0.657065,0.801913,114.9063,105.576,116.7293,104.4664,111.5917,99.80279,114.7192,103.0897,0.77368,10,-0.00065,673,734,648.45,1.03786,1.13193,0.857307,0.333333,-2.70414,91,181,68.70361
82,Miami OH,MAC,23-0,117.6845,63,107.774,145,0.733345,82,28.84025,2.159755,16.24051,1.759492,Nov-00,0.321564,0.213294,0.439676,0.360068,0.24123,0.445895,0.915947,0.942054,106.4199,112.3308,107.0773,111.6444,118.6964,107.9057,0,0,0,0,0.184597,985,862,805.2375,1.223242,1.070492,0.455668,1,2.540405,26,2,70.17519
83,Liberty,CUSA,18-3,118.4772,54,108.632,160,0.730601,83,25.64781,5.352186,17.64781,2.352186,Oct-00,0.403982,0.369157,0.44229,0.413635,0.369157,0.438098,0.889744,0.869031,107.4059,109.029,107.1653,109.1396,121.1779,108.0804,76.80745,107.8189,0.019836,1,0.107597,787,691,652.2875,1.206523,1.059349,0.433907,1,0.40586,52,18,63.42088
84,McNeese St.,Slnd,18-5,114.9364,78,105.4393,104,0.729445,84,24.59162,6.408376,17.59162,4.408376,3-Nov,0.449192,0.523043,0.401717,0.421555,0.523043,0.380037,0.863671,0.741253,108.5317,107.7457,107.6505,108.9289,114.8951,106.0104,102.3624,102.7531,0.48905,3,0.084149,1081,913,916.75,1.179166,0.995909,0.342098,0.785714,-0.22907,58,31,65.95114
85,Utah Valley,WAC,16-6,112.1087,122,102.8821,69,0.728631,85,22.95834,8.04166,12.95834,5.04166,3-Jun,0.437007,0.432113,0.444076,0.431964,0.432113,0.431856,0.883332,0.850825,108.0436,107.6085,107.0052,107.7696,111.2555,106.8472,111.8947,113.8412,0.450579,2,0.003848,723,675,653.75,1.105927,1.032505,0.419636,0.666667,-2.11404,79,175,69.47957
86,Colorado,B12,13-9,118.7121,53,108.9679,175,0.72809,86,15.93968,15.06032,5.939681,12.06032,6-Mar,0.643522,0.5116,0.834076,0.696866,0.5116,0.830669,0.687414,0.867712,113.0583,105.8307,115.4259,104.7545,118.4689,107.1301,115.0924,106.8556,0.701396,6,0.037356,689,712,622.4625,1.106894,1.143844,0.827262,0.333333,-1.98787,76,88,68.51082
87,Georgetown,BE,10-Dec,114.5214,85,105.2405,98,0.725501,87,15.64341,15.35659,7.643409,12.35659,7-Apr,0.614889,0.437158,0.79262,0.665856,0.437158,0.791641,0.70188,0.819655,111.3227,106.667,113.0738,105.4206,116.1999,103.5965,113.3003,102.3925,0.762082,7,0.013536,779,795,719.4875,1.082715,1.104953,0.790443,0.363636,-2.4665,85,144,65.62728
88,Hawaii,BW,16-5,107.1933,206,98.76412,30,0.719472,88,22.94217,7.057833,14.94217,5.057833,3-Aug,0.36731,0.259737,0.465103,0.379512,0.259737,0.439399,0.9114,0.93854,105.8625,110.8605,106.3216,110.9905,108.7298,99.64184,0,0,0,0,-0.01883,872,773,798.0625,1.092646,0.968596,0.407984,0.727273,-2.29466,81,236,69.45749
89,Notre Dame,ACC,11-Nov,113.8765,92,105.221,97,0.712816,89,14.59278,16.40722,5.592782,12.40722,7-Feb,0.643256,0.521437,0.819216,0.679396,0.521437,0.793477,0.680338,0.767058,113.0759,104.9458,114.0291,104.0778,113.6321,107.1053,115.8127,106.757,0.718356,10,-0.00217,630,699,602.825,1.045079,1.15954,0.767738,0.222222,-2.83323,93,188,65.0871
90,Oregon,B10,14-Aug,114.556,84,105.9115,114,0.711418,90,10.77455,20.22545,3.774553,16.22545,10-Jan,0.706213,0.565344,0.847083,0.743602,0.565344,0.841644,0.63141,0.793957,114.8544,103.2108,116.6201,102.8108,111.3045,107.5962,115.2803,111.7905,0.58747,11,-0.09126,709,838,706.5375,1.003485,1.186066,0.834996,0.090909,-5.09125,156,343,65.36509
91,Florida St.,ACC,12-Oct,113.8105,94,105.5421,108,0.704201,91,13.35775,17.64225,6.357749,11.64225,6-Mar,0.619099,0.466418,0.839639,0.665103,0.466418,0.808598,0.678465,0.76756,112.6702,105.6661,113.4194,104.5189,116.4282,104.6084,111.7185,106.2762,0.639761,10,-0.05134,672,733,629.725,1.067132,1.164,0.777557,0.333333,-3.75995,116,290,71.44517
92,Dayton,A10,15-8,109.3317,165,101.4669,56,0.702352,92,18.69196,12.30804,9.691962,8.308038,4-Jun,0.526572,0.524845,0.528819,0.576083,0.524845,0.613088,0.790879,0.797909,110.0318,108.497,111.5839,107.8629,105.7382,104.1706,107.0857,102.3727,0.626587,4,0.023501,718,713,682.6875,1.051726,1.044402,0.718425,0.6,-2.35149,83,110,67.66875
93,San Francisco,WCC,14-10,114.332,87,106.1449,118,0.701503,93,17.36174,13.63826,9.361742,8.638258,5-Jun,0.542269,0.485281,0.609619,0.571714,0.485281,0.634137,0.775851,0.82045,110.106,106.7418,110.8364,106.1027,112.4623,105.479,113.6342,105.5021,0.701388,5,-0.021,817,805,754.95,1.082191,1.066296,0.672666,0.545455,-3.65958,111,239,65.13106
94,South Carolina,SEC,12-Nov,113.3293,100,105.2427,99,0.700847,94,13.35426,17.64574,4.354259,13.64574,8-Feb,0.591392,0.375778,0.871692,0.65721,0.375778,0.860467,0.672631,0.87465,113.3312,107.7338,114.974,105.9045,113.1575,105.5118,111.204,104.4968,0.671597,9,-0.05758,724,844,694.825,1.041989,1.214694,0.846437,0.2,-4.06064,126,301,65.98297
95,Wichita St.,Amer,13-9,113.2533,101,105.3478,102,0.696805,95,18.96649,12.03351,10.96649,7.033506,4-May,0.489701,0.428881,0.577553,0.499736,0.428881,0.55091,0.848917,0.866713,109.1551,108.4885,109.3822,108.6754,113.8213,106.3992,108.6383,99.24522,0.738841,4,-0.06338,704,689,631.7375,1.114387,1.090643,0.524266,0.555556,-4.26361,130,311,65.51072
96,DePaul,BE,11-Dec,107.9066,192,100.5271,46,0.693097,96,15.15723,15.84277,7.157232,12.84277,8-Apr,0.596712,0.365739,0.808437,0.642583,0.365739,0.794847,0.729735,0.902933,111.5287,106.8995,113.0675,106.4712,109.1896,98.70675,106.5854,97.3124,0.740146,6,-0.01664,798,849,796.25,1.002198,1.066248,0.774462,0.333333,-3.5534,106,226,66.39883
97,Davidson,A10,13-9,112.2418,120,104.5843,84,0.692665,97,19.2274,11.7726,10.2274,7.772602,5-May,0.550838,0.494628,0.61829,0.521571,0.45658,0.568509,0.828825,0.829373,111.0644,107.0388,106.5545,103.7143,112.5598,104.5306,108.1676,108.1504,0.500457,4,-0.01372,703,701,644.4625,1.090832,1.087728,0.506283,0.5,-3.49735,104,216,63.57941
98,Kansas St.,B12,12-Oct,113.1789,103,105.4737,105,0.692289,98,12.70867,18.29133,3.708675,14.29133,8-Jan,0.656538,0.523446,0.848781,0.709121,0.523446,0.843219,0.649628,0.788363,114.3569,106.3329,115.3281,104.2648,108.7863,104.1598,109.8043,103.7747,0.656895,8,-0.01942,647,755,649.05,0.996842,1.163239,0.837657,0.111111,-3.62822,109,238,71.5447
99,Northern Iowa,MVC,14-9,103.9393,259,96.926,21,0.690698,99,18.8142,12.1858,10.8142,9.1858,6-Jun,0.507471,0.470421,0.541434,0.524508,0.470421,0.554255,0.848998,0.854977,109.0427,107.6231,109.6133,107.6975,102.6223,99.29734,106.3688,89.49738,0.879329,1,-0.04574,750,747,748.4375,1.002088,0.998079,0.573486,0.5,-4.38205,135,279,61.66228
100,Xavier,BE,11-Dec,113.7326,96,106.1377,117,0.688861,100,14.81397,16.18603,6.813973,13.18603,8-Apr,0.676617,0.550012,0.792671,0.70824,0.550012,0.795265,0.691226,0.794987,112.3006,103.2709,113.6227,103.085,112.6137,107.9152,109.2631,107.5902,0.544243,7,0.046825,904,1002,866.8625,1.042841,1.155893,0.799155,0.333333,-2.69894,90,72,70.36414
101,Memphis,Amer,11-Oct,105.9738,231,99.17527,33,0.681893,101,15.42163,15.57837,10.30562,7.694378,4-May,0.611497,0.67495,0.526894,0.61127,0.694088,0.551457,0.769744,0.674909,112.7006,106.6997,112.3217,106.5322,101.6515,98.9635,108.4721,99.53538,0.728845,4,-0.06075,654,629,631.6625,1.035363,0.995785,0.576019,0.555556,-4.5939,143,308,68.9934
102,Utah,B12,12-Sep,117.8985,59,110.3828,214,0.680811,102,11.77082,19.22918,3.770816,14.22918,7-Jan,0.646057,0.525438,0.842062,0.708571,0.525438,0.840834,0.670597,0.829732,113.6013,105.7824,115.353,104.1966,119.218,111.0313,115.7871,107.7307,0.696221,7,-0.06692,616,691,560.95,1.098137,1.231839,0.839851,0.125,-4.76585,148,315,67.94585
103,Florida Atlantic,Amer,14-9,112.543,115,105.5746,109,0.675913,103,18.96524,12.03476,10.96524,7.034759,4-Jun,0.499437,0.479485,0.525375,0.509593,0.479485,0.531337,0.846861,0.843651,109.5195,107.5764,109.878,108.0836,110.6346,103.3213,111.6986,104.9381,0.672163,3,-0.02303,799,759,737.275,1.08372,1.029467,0.53879,0.6,-4.09515,127,244,70.36751
104,Marquette,BE,15-Aug,111.6274,126,104.7522,86,0.675036,104,10.51483,20.48517,5.51483,14.48517,9-Mar,0.667911,0.53613,0.78871,0.704194,0.53613,0.796629,0.679368,0.763384,114.0416,104.9175,115.0145,104.2286,113.6101,104.8523,110.7943,106.4416,0.613228,8,-0.12192,875,949,837.1125,1.04526,1.133659,0.808507,0.25,-6.5437,202,362,69.37167
105,Sam Houston St.,CUSA,15-7,113.9508,91,106.9589,133,0.674411,105,21.39303,9.60697,13.39303,6.60697,4-Jul,0.455203,0.429928,0.480478,0.450517,0.429928,0.46184,0.867703,0.827016,110.2161,108.5436,109.1752,108.7716,112.9917,107.0078,120.54,110.7938,0.725035,2,0.023904,864,807,765.3875,1.12884,1.054368,0.439061,0.636364,-2.72824,92,108,70.02265
106,High Point,BSth,20-4,117.9654,57,110.7493,225,0.673906,106,25.97678,5.023218,13.97678,2.023218,1-Aug,0.280783,0.267682,0.302618,0.278004,0.267682,0.28768,0.947655,0.948464,103.3717,112.1149,103.2617,112.6385,114.5271,110.9,0,0,0,0,0.013126,767,651,637.475,1.203184,1.021217,0.268475,0.888889,-2.002,77,149,69.09262
107,George Mason,A10,20-2,112.6775,113,105.7893,111,0.673801,107,24.47694,6.523058,12.47694,5.523058,1-Aug,0.434911,0.346473,0.562655,0.500773,0.346473,0.612211,0.862522,0.922802,108.6625,110.7176,110.06,109.2647,111.7619,106.3325,101.7676,108.4151,0.325705,1,0.195285,647,600,573.6125,1.127939,1.046002,0.661768,0.888889,1.197011,40,1,64.56503
108,Wright St.,Horz,15-8,114.7444,81,107.7947,146,0.672276,108,21.10156,9.898442,16.10156,3.898442,2-Oct,0.41772,0.43749,0.399597,0.404118,0.43749,0.385763,0.901941,0.864575,110.2474,111.8879,109.741,112.4989,117.2784,107.6212,104.1836,105.9542,0.451701,2,-0.05686,996,905,824.2,1.208445,1.098034,0.365013,0.833333,-4.52653,139,300,66.17221
109,Colorado St.,MWC,10-Dec,117.5315,65,110.4616,218,0.671163,109,17.22447,13.77553,8.224473,11.77553,8-Mar,0.570309,0.414967,0.725651,0.569722,0.414967,0.654837,0.793764,0.897349,111.7583,107.0432,111.1614,106.8846,111.5846,110.0612,114.3237,110.5749,0.594698,6,-0.01056,721,793,690.75,1.043793,1.148028,0.568286,0.272727,-3.82565,119,207,61.52404
110,Wyoming,MWC,13-10,113.3406,99,106.6479,126,0.668176,110,16.86517,14.13483,7.865171,12.13483,8-Apr,0.53652,0.379707,0.680264,0.562275,0.379707,0.662686,0.779609,0.874996,110.7095,107.184,111.0055,106.7667,110.4789,108.1873,114.6469,113.417,0.53097,6,-0.02539,818,877,782.9125,1.044817,1.120176,0.63632,0.333333,-3.89266,122,248,66.14325
111,Murray St.,MVC,17-7,117.6539,64,110.7492,224,0.667191,111,20.83727,10.16273,12.83727,7.162733,4-Sep,0.494786,0.4402,0.540974,0.51528,0.4402,0.556573,0.845823,0.84908,108.3483,109.1392,108.2862,108.1701,117.2877,111.473,118.5444,121.8274,0.4221,2,0.067912,1071,1033,935.9125,1.144338,1.103736,0.585543,0.692308,-2.18055,80,45,72.1491
112,UC Irvine,BW,15-7,104.4143,252,98.34974,24,0.665549,112,22.1462,9.853798,15.1462,4.853798,2-Aug,0.443307,0.429755,0.459569,0.439111,0.429755,0.444725,0.894949,0.896949,107.9707,108.6812,108.1178,109.6062,107.3696,98.22702,0,0,0,0,-0.00325,765,679,714.05,1.071354,0.950914,0.42988,0.8,-3.51484,105,190,68.01438
113,Pittsburgh,ACC,14-Sep,112.6232,114,106.1904,119,0.662928,113,11.40955,19.59045,4.409547,13.59045,8-Feb,0.658271,0.53281,0.82137,0.698339,0.53281,0.817887,0.684203,0.803828,112.9804,104.8149,114.2906,104.1166,111.6081,107.101,109.3293,106.6625,0.570524,11,-0.07157,670,750,653.3125,1.025543,1.147996,0.813533,0.2,-5.68945,173,322,63.86654
114,Pacific,WCC,15-9,112.394,117,106.2881,120,0.655287,114,18.18608,12.81392,9.186079,8.813921,5-Jun,0.465544,0.423753,0.514933,0.512807,0.423753,0.577124,0.808086,0.826918,108.5668,107.3954,109.7712,106.5741,113.4398,106.3743,109.4232,107.5616,0.549173,4,-0.00691,811,769,727.775,1.114355,1.056645,0.674853,0.545455,-3.77541,118,201,64.54166
115,Seattle,WCC,14-9,101.9487,294,96.64102,20,0.64905,115,18.81906,12.18094,7.819061,10.18094,7-Mar,0.488828,0.349294,0.670223,0.493665,0.349294,0.597932,0.823784,0.909637,111.1618,108.7283,110.313,108.1574,98.84837,93.19507,114.051,100.6125,0.808725,3,-0.00902,637,683,688.475,0.925233,0.992048,0.507569,0.3,-3.75214,115,204,67.9115
116,Cal Baptist,WAC,16-6,108.9889,170,103.3976,71,0.646944,116,22.47974,8.520256,12.47974,5.520256,3-Jun,0.462508,0.44237,0.491596,0.443519,0.44237,0.444349,0.873765,0.851353,107.1223,108.9032,106.5623,108.9941,108.8729,101.7966,97.29547,112.1122,0.163816,1,0.089755,647,614,611.925,1.057319,1.003391,0.397101,0.666667,-1.77005,75,26,65.40007
117,UC Santa Barbara,BW,15-7,115.486,75,110.063,204,0.634856,117,20.48776,10.51224,13.48776,6.512235,3-Aug,0.40143,0.39658,0.40628,0.429589,0.39658,0.447745,0.890288,0.887556,107.1532,109.5763,106.918,108.6672,117.9038,108.7511,98.59374,101.8639,0.407274,1,-0.01476,906,809,759.325,1.193165,1.06542,0.498424,0.727273,-3.8835,121,221,63.73823
118,Washington St.,WCC,13-Nov,115.4661,76,110.206,210,0.630925,118,14.04114,16.95886,9.041142,8.958858,5-Jun,0.571055,0.573072,0.568672,0.591229,0.573072,0.604342,0.789408,0.816616,110.2496,105.6115,110.7694,105.1449,119.3781,112.2405,110.7523,106.4432,0.612155,3,-0.07934,869,840,755.675,1.149965,1.111589,0.660395,0.545455,-6.81975,212,332,67.21194
119,North Dakota St.,Sum,19-5,112.9125,105,107.8824,147,0.6281,119,24.16595,6.834054,14.16595,1.834054,Sep-00,0.339721,0.366524,0.29505,0.340419,0.366524,0.315947,0.925131,0.912906,106.4611,111.5239,106.6751,112.3539,115.9349,108.9185,0,0,0,0,0.05609,739,636,604.7,1.222094,1.051761,0.342814,1,-2.38439,84,60,65.62821
120,Duquesne,A10,10-Dec,111.5743,128,106.6419,125,0.627139,120,16.20882,14.79118,8.208823,9.791177,5-Apr,0.456818,0.352162,0.607988,0.508818,0.352162,0.621958,0.820626,0.861065,109.8147,109.6523,110.6723,108.5074,111.9023,105.7234,110.7655,105.8915,0.626564,4,-0.08758,701,695,644.0875,1.088361,1.079046,0.635928,0.444444,-5.45842,164,338,70.53507
121,Hofstra,CAA,14-9,114.7127,83,109.7261,193,0.625062,121,19.78011,11.21989,10.78011,7.219891,5-May,0.449201,0.463822,0.430194,0.432357,0.463822,0.409632,0.882168,0.839126,108.2739,108.2769,107.7058,109.0306,115.6937,112.5725,121.4511,104.9938,0.842178,2,-0.01427,754,726,656.05,1.149303,1.106623,0.383931,0.5,-4.7847,149,217,65.26044
122,Saint Joseph's,A10,14-8,107.4787,202,102.9054,70,0.622473,122,19.06976,11.93024,11.06976,6.930239,3-Jun,0.457137,0.362357,0.59404,0.482586,0.362357,0.569419,0.845626,0.881544,108.5094,108.8905,108.8433,108.5685,111.8469,100.4504,108.0609,109.2303,0.469093,4,0.014311,672,658,621.2125,1.081755,1.059219,0.544797,0.666667,-3.492,103,140,67.92916
123,Illinois Chicago,MVC,13-11,108.9271,172,104.5631,83,0.615433,123,17.19065,13.80935,12.19065,7.809353,5-Aug,0.474999,0.34651,0.583721,0.485318,0.34651,0.561662,0.862485,0.901855,108.8806,108.3374,108.9037,108.2773,111.3168,101.345,136.4594,119.7186,0.818342,1,-0.05683,929,878,864.65,1.074423,1.01544,0.520697,0.615385,-6.19781,190,299,66.05316
124,St. Thomas,Sum,18-6,112.7565,111,108.3494,151,0.612657,124,23.12318,7.876822,12.12318,3.876822,2-Jul,0.336849,0.358281,0.30113,0.337409,0.358281,0.317842,0.914391,0.891887,108.0426,113.1664,107.581,113.2738,112.9915,111.2124,104.0547,112.4309,0.291036,1,0.024332,772,685,635.1,1.215557,1.07857,0.339329,0.777778,-2.98163,97,107,68.53816
125,Bowling Green,MAC,14-9,108.6988,176,104.7655,87,0.604405,125,19.02604,11.97396,9.553642,8.446358,6-May,0.377324,0.286092,0.47685,0.398551,0.307052,0.464634,0.90019,0.916576,107.7131,111.1858,108.0512,110.9895,108.6561,106.7591,0,0,0,0,-0.08279,855,833,773.0375,1.106027,1.077567,0.445438,0.454545,-5.87974,182,335,67.77463
126,Penn St.,B10,12-Oct,115.598,74,111.9164,246,0.591992,126,12.31589,18.68411,3.315891,16.68411,10-Jan,0.607978,0.343125,0.872832,0.663551,0.343125,0.839785,0.67428,0.932593,114.1872,107.0235,115.3426,105.2709,117.4698,113.7629,116.0085,110.8266,0.628436,9,-0.0052,798,947,744.675,1.071608,1.271696,0.799394,0.090909,-4.38086,134,195,67.18272
127,UC San Diego,BW,15-8,108.4811,181,105.0635,93,0.591006,127,20.59119,11.40881,10.59119,9.408814,6-May,0.438123,0.418275,0.459776,0.439383,0.418275,0.452048,0.888408,0.886846,107.9077,108.7612,107.5523,108.9779,102.8226,104.7955,113.7812,106.7055,0.676634,1,0.019224,781,792,764.9625,1.020965,1.035345,0.442602,0.454545,-4.54752,142,120,67.12274
128,UNLV,MWC,12-Oct,112.7035,112,109.1962,179,0.589901,128,13.57533,17.42467,8.575333,11.42467,6-May,0.570896,0.478141,0.663652,0.601935,0.478141,0.670023,0.769097,0.838442,110.6717,105.9284,111.1566,105.3086,114.3937,109.3762,114.5977,113.6897,0.522854,5,-0.04066,834,860,764.15,1.091409,1.125433,0.677808,0.454545,-5.92323,184,268,70.43994
129,Maryland,B10,13-Aug,110.6523,136,107.5073,141,0.582147,129,10.38317,20.61683,3.383172,16.61683,9-Jan,0.674455,0.500644,0.865647,0.718388,0.500644,0.838148,0.600908,0.7539,115.6315,104.6493,116.7018,103.8346,112.0245,109.6017,111.5929,112.1556,0.485544,11,0.007082,670,833,667.375,1.003933,1.248174,0.810648,0.1,-3.46832,101,162,67.46672
130,Rhode Island,A10,13-9,106.8354,213,103.8486,78,0.580809,130,17.47611,13.52389,8.476112,9.523888,5-Apr,0.487164,0.41214,0.595532,0.513538,0.41214,0.58677,0.845075,0.879879,108.9732,109.805,109.4105,108.8516,104.9573,103.4713,0,0,0,0,0.016388,609,615,588.2375,1.035296,1.045496,0.578007,0.444444,-4.51817,138,132,65.41404
131,UAB,Amer,14-8,110.2749,143,107.2506,137,0.579273,131,18.90137,12.09863,9.901373,8.098627,4-May,0.455903,0.382205,0.562355,0.476136,0.382205,0.543975,0.860427,0.885548,108.1257,109.5165,108.3413,108.9255,108.1719,108.4744,112.7842,104.3391,0.709932,2,0.027547,720,733,673.75,1.068646,1.087941,0.525595,0.555556,-4.06018,125,102,69.3974
132,Oakland,Horz,14-10,115.7092,73,112.5496,256,0.578932,132,19.11888,11.88112,15.11888,4.881122,3-Oct,0.544141,0.683178,0.426494,0.497213,0.683178,0.394932,0.797522,0.580258,112.7341,107.2262,111.8278,109.1825,114.2822,112.1198,116.6231,109.4268,0.675342,5,0.087204,1109,1024,927.225,1.196042,1.104371,0.336318,0.769231,-2.89064,95,29,70.4255
133,Georgia Tech,ACC,11-Nov,107.9599,190,105.2524,100,0.572506,133,13.13986,17.86014,4.139864,13.86014,7-Feb,0.531517,0.342605,0.804389,0.613248,0.342605,0.808713,0.726686,0.908684,108.8152,106.4545,111.137,104.8762,108.2896,103.993,113.6038,102.117,0.773097,7,-0.03638,644,713,643.3125,1.001069,1.108326,0.813037,0.222222,-4.96376,153,264,70.55043
