rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
16,Tennessee,SEC,16-6,122.1419,30,96.2169,18,0.939554,16,22.06579,8.934211,12.06579,5.934211,3-Jun,0.662917,0.518055,0.872162,0.714368,0.518055,0.856151,0.623225,0.734305,116.6759,106.8593,117.6407,105.4496,122.7419,98.77525,121.9091,96.61242,0.935507,13,0.004204,718,703,632.2125,1.135694,1.111968,0.840139,0.666667,3.196349,20,173,65.74525
17,Louisville,ACC,15-6,124.8892,15,98.48955,25,0.93883,17,21.97908,9.02092,11.17976,6.820244,4-May,0.658952,0.543946,0.812294,0.706182,0.563177,0.809464,0.65758,0.753443,112.6552,103.8021,114.4206,103.3614,123.773,99.44068,119.2714,98.72372,0.897925,10,-0.04615,709,662,621.3,1.141156,1.065508,0.806634,0.555556,2.043584,35,280,70.02781
18,Texas Tech,B12,16-6,124.9631,14,98.74864,29,0.937472,18,21.78732,9.212677,11.78732,6.212677,3-Jun,0.722652,0.639106,0.843331,0.750299,0.639106,0.830604,0.615542,0.701614,118.5304,104.9495,118.3086,103.4932,126.0498,96.90594,125.4204,100.341,0.928616,10,0.014904,735,676,623.6125,1.178617,1.084006,0.817878,0.666667,3.534036,16,137,67.5549
19,Alabama,SEC,14-7,129.254,3,102.1941,61,0.93711,19,20.81298,10.18702,10.81298,7.187022,4-Apr,0.758887,0.698378,0.857216,0.783789,0.698378,0.845475,0.594726,0.637811,118.0735,103.003,118.7103,102.8691,124.2192,101.7431,129.1028,103.8395,0.924441,11,-0.01456,687,668,596.3125,1.15208,1.120218,0.836083,0.5,2.966729,23,219,73.1126
20,Iowa,B10,16-5,121.9253,34,96.58897,19,0.935768,20,22.1603,8.839701,12.1603,7.839701,4-Jun,0.590513,0.39712,0.803245,0.674448,0.39712,0.826978,0.647751,0.845173,112.3201,106.4545,115.0485,104.6262,120.2458,98.01762,118.6972,93.72573,0.937984,8,-0.002,716,677,638.475,1.121422,1.060339,0.850711,0.6,2.302425,30,187,63.52087
21,Saint Louis,A10,22-1,124.6981,16,99.57598,36,0.930034,21,29.10362,1.896377,17.10362,0.896377,Oct-00,0.48665,0.399808,0.599544,0.497807,0.399808,0.568584,0.859,0.891684,108.2085,107.9372,108.4735,107.9838,126.5769,99.18663,100.7867,80.98612,0.925213,2,0.057906,873,700,705.4375,1.23753,0.992292,0.529883,1,3.346036,18,58,71.20726
22,St. John's,BE,17-5,121.9187,35,97.77784,23,0.926732,22,23.13349,7.866509,16.13349,3.866509,1-Oct,0.68387,0.617756,0.749985,0.716868,0.617756,0.771379,0.69655,0.743952,114.187,104.9564,115.0234,103.979,123.782,98.24887,123.5079,101.1941,0.908174,6,-0.00523,910,785,767.225,1.186093,1.023168,0.797529,0.909091,2.688741,25,196,69.77201
23,Clemson,ACC,18-4,116.5375,70,94.14551,12,0.920837,23,23.7992,7.200796,13.7992,4.200796,1-Aug,0.613595,0.529063,0.735696,0.666315,0.529063,0.765441,0.708765,0.771378,111.8003,106.7426,113.3749,105.2175,115.4888,91.16907,118.6136,95.85555,0.920549,7,0.028073,646,564,588.225,1.098219,0.958817,0.795185,0.888889,2.982565,22,100,64.40487
24,N.C. State,ACC,17-6,123.2892,23,99.86465,38,0.918583,24,21.85581,9.144194,12.85581,5.144194,2-Aug,0.664181,0.586465,0.76521,0.710814,0.586465,0.800622,0.681227,0.772915,113.5374,105.4997,115.113,104.2952,125.2058,100.9173,120.9842,104.0367,0.85012,6,-0.01719,826,728,697.275,1.184612,1.044064,0.844886,0.8,2.135976,34,229,68.90793
25,Texas A&M,SEC,17-4,122.1164,32,98.99016,31,0.917925,25,22.80697,8.193028,12.80697,5.193028,1-Jul,0.5618,0.412427,0.804532,0.655807,0.412427,0.831582,0.691558,0.863964,111.7856,108.881,115.0534,106.7678,123.5642,95.78402,115.6766,97.11866,0.881942,6,0.018604,676,607,577.4625,1.170639,1.051151,0.853221,0.875,2.2078,33,123,71.72688
