date,teamA,teamB,pointsA,pointsB,spread,total
2026-02-14T13:00:00,Michigan,UCLA,NaN,NaN,NaN,NaN
2026-02-21T18:30:00,Michigan,Duke,NaN,NaN,NaN,NaN
